Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
30548433,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1990,SEX,BTSX,,,,,,,146 379 [118 382-185 947],146379,118382,185947,,2023-02-16T07:30:24Z,1990,1990-01-01,1990-12-31
30548434,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1991,SEX,BTSX,,,,,,,148 068 [121 433-184 452],148068,121433,184452,,2023-02-16T07:30:24Z,1991,1991-01-01,1991-12-31
30548435,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1992,SEX,BTSX,,,,,,,151 715 [125 696-185 834],151715,125696,185834,,2023-02-16T07:30:24Z,1992,1992-01-01,1992-12-31
30548436,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1993,SEX,BTSX,,,,,,,157 900 [132 697-190 373],157900,132697,190373,,2023-02-16T07:30:24Z,1993,1993-01-01,1993-12-31
30548437,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1994,SEX,BTSX,,,,,,,186 118 [158 921-221 877],186118,158921,221877,,2023-02-16T07:30:24Z,1994,1994-01-01,1994-12-31
30548438,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1995,SEX,BTSX,,,,,,,155 817 [132 602-184 449],155817,132602,184449,,2023-02-16T07:30:24Z,1995,1995-01-01,1995-12-31
30548439,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1996,SEX,BTSX,,,,,,,157 301 [134 674-184 468],157301,134674,184468,,2023-02-16T07:30:24Z,1996,1996-01-01,1996-12-31
30548440,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1997,SEX,BTSX,,,,,,,159 102 [136 984-185 286],159102,136984,185286,,2023-02-16T07:30:24Z,1997,1997-01-01,1997-12-31
30548441,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1998,SEX,BTSX,,,,,,,159 601 [137 804-184 664],159601,137804,184664,,2023-02-16T07:30:25Z,1998,1998-01-01,1998-12-31
30548442,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1999,SEX,BTSX,,,,,,,159 681 [138 348-184 406],159681,138348,184406,,2023-02-16T07:30:25Z,1999,1999-01-01,1999-12-31
30548443,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2000,SEX,BTSX,,,,,,,159 804 [138 815-183 518],159804,138815,183518,,2023-02-16T07:30:25Z,2000,2000-01-01,2000-12-31
30548444,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2001,SEX,BTSX,,,,,,,159 808 [139 419-182 974],159808,139419,182974,,2023-02-16T07:30:25Z,2001,2001-01-01,2001-12-31
30548445,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2002,SEX,BTSX,,,,,,,159 775 [139 659-182 890],159775,139659,182890,,2023-02-16T07:30:25Z,2002,2002-01-01,2002-12-31
30548446,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2003,SEX,BTSX,,,,,,,159 942 [140 064-182 537],159942,140064,182537,,2023-02-16T07:30:25Z,2003,2003-01-01,2003-12-31
30548447,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2004,SEX,BTSX,,,,,,,159 396 [139 753-182 108],159396,139753,182108,,2023-02-16T07:30:25Z,2004,2004-01-01,2004-12-31
30548448,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2005,SEX,BTSX,,,,,,,159 191 [139 461-181 724],159191,139461,181724,,2023-02-16T07:30:25Z,2005,2005-01-01,2005-12-31
30548449,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2006,SEX,BTSX,,,,,,,159 115 [139 260-181 179],159115,139260,181179,,2023-02-16T07:30:25Z,2006,2006-01-01,2006-12-31
30548450,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2007,SEX,BTSX,,,,,,,158 752 [138 815-181 022],158752,138815,181022,,2023-02-16T07:30:25Z,2007,2007-01-01,2007-12-31
30548451,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2008,SEX,BTSX,,,,,,,158 355 [138 142-180 802],158355,138142,180802,,2023-02-16T07:30:25Z,2008,2008-01-01,2008-12-31
30548452,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2009,SEX,BTSX,,,,,,,158 233 [137 553-181 428],158233,137553,181428,,2023-02-16T07:30:25Z,2009,2009-01-01,2009-12-31
30548453,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2010,SEX,BTSX,,,,,,,158 168 [136 990-182 506],158168,136990,182506,,2023-02-16T07:30:25Z,2010,2010-01-01,2010-12-31
30548454,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2011,SEX,BTSX,,,,,,,158 511 [136 427-184 090],158511,136427,184090,,2023-02-16T07:30:25Z,2011,2011-01-01,2011-12-31
30548455,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2012,SEX,BTSX,,,,,,,159 396 [136 298-186 750],159396,136298,186750,,2023-02-16T07:30:25Z,2012,2012-01-01,2012-12-31
30548456,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2013,SEX,BTSX,,,,,,,160 563 [136 388-190 157],160563,136388,190157,,2023-02-16T07:30:25Z,2013,2013-01-01,2013-12-31
30548457,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2014,SEX,BTSX,,,,,,,162 154 [136 834-194 733],162154,136834,194733,,2023-02-16T07:30:25Z,2014,2014-01-01,2014-12-31
30548458,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2015,SEX,BTSX,,,,,,,163 695 [137 536-199 703],163695,137536,199703,,2023-02-16T07:30:25Z,2015,2015-01-01,2015-12-31
30548459,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2016,SEX,BTSX,,,,,,,165 201 [137 918-205 008],165201,137918,205008,,2023-02-16T07:30:25Z,2016,2016-01-01,2016-12-31
30548460,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2017,SEX,BTSX,,,,,,,166 939 [138 655-210 497],166939,138655,210497,,2023-02-16T07:30:26Z,2017,2017-01-01,2017-12-31
30548461,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2018,SEX,BTSX,,,,,,,168 691 [139 576-216 951],168691,139576,216951,,2023-02-16T07:30:26Z,2018,2018-01-01,2018-12-31
30548462,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2019,SEX,BTSX,,,,,,,170 652 [141 085-223 458],170652,141085,223458,,2023-02-16T07:30:26Z,2019,2019-01-01,2019-12-31
30548463,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2020,SEX,BTSX,,,,,,,171 750 [142 200-229 611],171750,142200,229611,,2023-02-16T07:30:26Z,2020,2020-01-01,2020-12-31
30548464,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,2021,SEX,BTSX,,,,,,,173 068 [143 300-235 723],173068,143300,235723,,2023-02-16T07:30:26Z,2021,2021-01-01,2021-12-31
30548785,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1990,SEX,MLE,,,,,,,73 975 [59 745-94 008],73975,59745,94008,,2023-02-16T07:30:38Z,1990,1990-01-01,1990-12-31
30548786,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1991,SEX,MLE,,,,,,,74 857 [61 215-93 613],74857,61215,93613,,2023-02-16T07:30:38Z,1991,1991-01-01,1991-12-31
30548787,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1992,SEX,MLE,,,,,,,76 822 [63 536-94 313],76822,63536,94313,,2023-02-16T07:30:38Z,1992,1992-01-01,1992-12-31
30548788,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1993,SEX,MLE,,,,,,,80 400 [67 429-97 082],80400,67429,97082,,2023-02-16T07:30:38Z,1993,1993-01-01,1993-12-31
30548789,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1994,SEX,MLE,,,,,,,94 265 [80 265-112 574],94265,80265,112574,,2023-02-16T07:30:38Z,1994,1994-01-01,1994-12-31
30548790,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1995,SEX,MLE,,,,,,,79 181 [67 057-93 726],79181,67057,93726,,2023-02-16T07:30:38Z,1995,1995-01-01,1995-12-31
30548791,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1996,SEX,MLE,,,,,,,80 007 [68 373-93 845],80007,68373,93845,,2023-02-16T07:30:38Z,1996,1996-01-01,1996-12-31
30548792,CHILDMORT_DEATHS_10TO14,REGION,AFR,,,YEAR,1997,SEX,MLE,,,,,,,80 983 [69 641-94 562],80983,69641,94562,,2023-02-16T07:30:38Z,1997,1997-01-01,1997-12-31
