Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
30548401,CM_04,REGION,AFR,,,YEAR,1990,SEX,BTSX,,,,,,,387 161 [367 238-408 849],387161,367238,408849,,2023-02-16T07:30:23Z,1990,1990-01-01,1990-12-31
30548402,CM_04,REGION,AFR,,,YEAR,1991,SEX,BTSX,,,,,,,386 885 [368 148-408 124],386885,368148,408124,,2023-02-16T07:30:23Z,1991,1991-01-01,1991-12-31
30548403,CM_04,REGION,AFR,,,YEAR,1992,SEX,BTSX,,,,,,,392 305 [374 337-413 674],392305,374337,413674,,2023-02-16T07:30:23Z,1992,1992-01-01,1992-12-31
30548404,CM_04,REGION,AFR,,,YEAR,1993,SEX,BTSX,,,,,,,397 061 [379 971-418 106],397061,379971,418106,,2023-02-16T07:30:23Z,1993,1993-01-01,1993-12-31
30548405,CM_04,REGION,AFR,,,YEAR,1994,SEX,BTSX,,,,,,,419 608 [403 205-440 377],419608,403205,440377,,2023-02-16T07:30:23Z,1994,1994-01-01,1994-12-31
30548406,CM_04,REGION,AFR,,,YEAR,1995,SEX,BTSX,,,,,,,388 845 [373 549-408 664],388845,373549,408664,,2023-02-16T07:30:23Z,1995,1995-01-01,1995-12-31
30548407,CM_04,REGION,AFR,,,YEAR,1996,SEX,BTSX,,,,,,,386 972 [372 364-405 916],386972,372364,405916,,2023-02-16T07:30:23Z,1996,1996-01-01,1996-12-31
30548408,CM_04,REGION,AFR,,,YEAR,1997,SEX,BTSX,,,,,,,385 222 [371 138-403 311],385222,371138,403311,,2023-02-16T07:30:23Z,1997,1997-01-01,1997-12-31
30548409,CM_04,REGION,AFR,,,YEAR,1998,SEX,BTSX,,,,,,,380 538 [367 115-397 923],380538,367115,397923,,2023-02-16T07:30:23Z,1998,1998-01-01,1998-12-31
30548410,CM_04,REGION,AFR,,,YEAR,1999,SEX,BTSX,,,,,,,374 768 [361 978-391 353],374768,361978,391353,,2023-02-16T07:30:23Z,1999,1999-01-01,1999-12-31
30548411,CM_04,REGION,AFR,,,YEAR,2000,SEX,BTSX,,,,,,,369 343 [356 946-385 232],369343,356946,385232,,2023-02-16T07:30:23Z,2000,2000-01-01,2000-12-31
30548412,CM_04,REGION,AFR,,,YEAR,2001,SEX,BTSX,,,,,,,364 499 [352 260-379 731],364499,352260,379731,,2023-02-16T07:30:23Z,2001,2001-01-01,2001-12-31
30548413,CM_04,REGION,AFR,,,YEAR,2002,SEX,BTSX,,,,,,,359 474 [347 468-374 124],359474,347468,374124,,2023-02-16T07:30:23Z,2002,2002-01-01,2002-12-31
30548414,CM_04,REGION,AFR,,,YEAR,2003,SEX,BTSX,,,,,,,354 456 [342 655-368 843],354456,342655,368843,,2023-02-16T07:30:23Z,2003,2003-01-01,2003-12-31
30548415,CM_04,REGION,AFR,,,YEAR,2004,SEX,BTSX,,,,,,,348 710 [336 998-362 877],348710,336998,362877,,2023-02-16T07:30:24Z,2004,2004-01-01,2004-12-31
30548416,CM_04,REGION,AFR,,,YEAR,2005,SEX,BTSX,,,,,,,343 254 [331 659-357 445],343254,331659,357445,,2023-02-16T07:30:24Z,2005,2005-01-01,2005-12-31
30548417,CM_04,REGION,AFR,,,YEAR,2006,SEX,BTSX,,,,,,,337 879 [326 355-352 143],337879,326355,352143,,2023-02-16T07:30:24Z,2006,2006-01-01,2006-12-31
