Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
30549255,WHOSIS_000003,REGION,AMR,,,YEAR,1990,SEX,BTSX,,,,,,,18.05 [17.2-18.93],18.04992,17.1981,18.9315,,2023-02-16T07:30:54Z,1990,1990-01-01,1990-12-31
30549256,WHOSIS_000003,REGION,AMR,,,YEAR,1991,SEX,BTSX,,,,,,,17.58 [16.75-18.43],17.58345,16.74659,18.43424,,2023-02-16T07:30:54Z,1991,1991-01-01,1991-12-31
30549257,WHOSIS_000003,REGION,AMR,,,YEAR,1992,SEX,BTSX,,,,,,,17.13 [16.3-17.95],17.12846,16.30189,17.94869,,2023-02-16T07:30:54Z,1992,1992-01-01,1992-12-31
30549258,WHOSIS_000003,REGION,AMR,,,YEAR,1993,SEX,BTSX,,,,,,,16.7 [15.89-17.51],16.696,15.88725,17.5137,,2023-02-16T07:30:54Z,1993,1993-01-01,1993-12-31
30549259,WHOSIS_000003,REGION,AMR,,,YEAR,1994,SEX,BTSX,,,,,,,16.22 [15.45-17.01],16.22389,15.452819999999999,17.00942,,2023-02-16T07:30:54Z,1994,1994-01-01,1994-12-31
30549260,WHOSIS_000003,REGION,AMR,,,YEAR,1995,SEX,BTSX,,,,,,,15.74 [14.96-16.51],15.74011,14.95813,16.50559,,2023-02-16T07:30:54Z,1995,1995-01-01,1995-12-31
30549261,WHOSIS_000003,REGION,AMR,,,YEAR,1996,SEX,BTSX,,,,,,,15.19 [14.44-15.92],15.19457,14.43837,15.92312,,2023-02-16T07:30:54Z,1996,1996-01-01,1996-12-31
30549262,WHOSIS_000003,REGION,AMR,,,YEAR,1997,SEX,BTSX,,,,,,,14.65 [13.93-15.37],14.65476,13.9308,15.37392,,2023-02-16T07:30:54Z,1997,1997-01-01,1997-12-31
30549263,WHOSIS_000003,REGION,AMR,,,YEAR,1998,SEX,BTSX,,,,,,,14.12 [13.43-14.82],14.12371,13.42791,14.82074,,2023-02-16T07:30:54Z,1998,1998-01-01,1998-12-31
30549264,WHOSIS_000003,REGION,AMR,,,YEAR,1999,SEX,BTSX,,,,,,,13.61 [12.96-14.27],13.61131,12.96214,14.26585,,2023-02-16T07:30:54Z,1999,1999-01-01,1999-12-31
30549265,WHOSIS_000003,REGION,AMR,,,YEAR,2000,SEX,BTSX,,,,,,,13.04 [12.44-13.65],13.04296,12.43732,13.64538,,2023-02-16T07:30:54Z,2000,2000-01-01,2000-12-31
30549266,WHOSIS_000003,REGION,AMR,,,YEAR,2001,SEX,BTSX,,,,,,,12.51 [11.95-13.07],12.50568,11.94735,13.06878,,2023-02-16T07:30:54Z,2001,2001-01-01,2001-12-31
